method,policy,checkpoint,repeat,average_query_shots,low_shots,high_shots,offline_quantum_shots,weight_low,weight_high,mae_F_e,rmse_F_e,bias_F_e,pearson
adaptive_hybrid,random,bidir_seed1,2,32,16,48,6144,0.4788530300484425,0.03977921901952057,0.08737531207345639,0.10936283668593999,0.01405834473443095,0.8400312500763654
adaptive_dfe,random,bidir_seed1,2,32,16,48,0,,,0.09978476803806469,0.12954669608591607,0.0009184367388053209,0.836079836825291
adaptive_hybrid,width,bidir_seed1,2,32,16,48,6144,0.2057491150276965,0.5942590986120487,0.07208496176009901,0.09105138341746943,0.0053821411981794355,0.8979517219047023
adaptive_dfe,width,bidir_seed1,2,32,16,48,0,,,0.10045621795924727,0.13059536204038794,-0.0034115070442634634,0.8324446252110805
adaptive_hybrid,disagreement,bidir_seed1,2,32,16,48,6144,0.0006651183960638305,0.5715665334940283,0.07340463862682764,0.09189890624354748,0.009023572557211153,0.8954193403257725
adaptive_dfe,disagreement,bidir_seed1,2,32,16,48,0,,,0.09028082695067738,0.11419700557116688,0.0017761582996518824,0.8573391827744635
adaptive_hybrid,combined,bidir_seed1,2,32,16,48,6144,0.0753310282237306,0.5652600013488713,0.0738257698567463,0.09079232629187335,0.0032503377167954696,0.9021088207732406
adaptive_dfe,combined,bidir_seed1,2,32,16,48,0,,,0.09723445891326284,0.12402640598469768,-0.00044565056278198206,0.8413959754584261
fixed_hybrid,fixed,bidir_seed1,2,64,64,64,8192,0.6911047109034903,0.6911047109034903,0.05434781175296462,0.06785252166510533,0.005527614222847528,0.9406986352669737
adaptive_hybrid,random,bidir_seed1,2,64,32,96,8192,0.3232374323952141,0.9509523575123928,0.06069450547121876,0.07750306847996132,0.006838977893353083,0.9210739649571523
adaptive_dfe,random,bidir_seed1,2,64,32,96,0,,,0.07198787664578211,0.09388305178127017,0.0009959416991227837,0.9050292013567051
adaptive_hybrid,width,bidir_seed1,2,64,32,96,8192,0.4040623668570681,0.8249456790016279,0.05728517646113234,0.07404599219736564,0.00198450690762048,0.9307390933550654
adaptive_dfe,width,bidir_seed1,2,64,32,96,0,,,0.07168764505774355,0.09260059164423035,-2.195677971319547e-05,0.9067679677565363
adaptive_hybrid,disagreement,bidir_seed1,2,64,32,96,8192,0.26417201924356404,0.5938447583647998,0.061755021707232204,0.07715000368699952,0.00775125143688145,0.9329875526427808
adaptive_dfe,disagreement,bidir_seed1,2,64,32,96,0,,,0.06799178849043394,0.08685323181985757,-0.000910680324686741,0.9126727718453048
adaptive_hybrid,combined,bidir_seed1,2,64,32,96,8192,0.08604777157659468,0.6932662397786946,0.06626856337433826,0.0833345489199746,7.35138989777688e-05,0.919733494741836
adaptive_dfe,combined,bidir_seed1,2,64,32,96,0,,,0.07035882945391768,0.09027666145024284,-0.0008900123352687504,0.9081340773381157
fixed_hybrid,fixed,bidir_seed1,3,32,32,32,6144,0.4500182481734972,0.4500182481734972,0.0657406743774161,0.08394961899511375,0.01658637245615227,0.9107155139958149
adaptive_hybrid,random,bidir_seed1,3,32,16,48,6144,0.2104485758019657,0.4287260398286414,0.06982942506537573,0.09236861922613084,0.01984017416799813,0.8923286295336997
adaptive_dfe,random,bidir_seed1,3,32,16,48,0,,,0.1016431708460447,0.13175536119707174,0.0004844089610275437,0.8321052761633771
adaptive_hybrid,width,bidir_seed1,3,32,16,48,6144,0.11640750716748913,0.5866875359875944,0.06667807110930739,0.09129369514498388,0.018588489574571876,0.8941155153601491
adaptive_dfe,width,bidir_seed1,3,32,16,48,0,,,0.09952261372932564,0.1290130166754039,0.0030369056541492347,0.8403977284382944
adaptive_hybrid,disagreement,bidir_seed1,3,32,16,48,6144,0.0006832791594897622,0.5714607167475909,0.06784659667471404,0.08908250250698549,0.017682589029269807,0.8986142232395921
adaptive_dfe,disagreement,bidir_seed1,3,32,16,48,0,,,0.09324330758862691,0.1182128619432288,0.0024478679557365375,0.8513679170400441
adaptive_hybrid,combined,bidir_seed1,3,32,16,48,6144,0.2267721805942032,0.5956005486832576,0.06329299964500858,0.08184472204323083,0.013798245691728533,0.9145725287074362
adaptive_dfe,combined,bidir_seed1,3,32,16,48,0,,,0.09614759671413119,0.12214885684031437,0.0062714459980645785,0.8512426795066234
fixed_hybrid,fixed,bidir_seed1,3,64,64,64,8192,0.5790170657968783,0.5790170657968783,0.05385490010803417,0.06871433194402991,0.011052369495079529,0.9408357710662006
adaptive_hybrid,random,bidir_seed1,3,64,32,96,8192,0.3273120594164137,0.578821956359518,0.060064316214883694,0.0785087162928015,0.01555121420212283,0.9234602273872584
adaptive_dfe,random,bidir_seed1,3,64,32,96,0,,,0.07156704644310391,0.09163851346358455,-0.0014893840283904444,0.9089734073172769
adaptive_hybrid,width,bidir_seed1,3,64,32,96,8192,0.4526106641567533,0.6940925812884311,0.05495490808185658,0.07159028874902058,0.01104434916903419,0.9348987028375442
adaptive_dfe,width,bidir_seed1,3,64,32,96,0,,,0.0708980996459821,0.09109417144242453,-0.0015152190151629305,0.9087363008717998
adaptive_hybrid,disagreement,bidir_seed1,3,64,32,96,8192,0.3438052885931003,0.8090180689290417,0.05450910436564785,0.07031235366279874,0.010968987098749597,0.9368248172182553
adaptive_dfe,disagreement,bidir_seed1,3,64,32,96,0,,,0.06912505329480623,0.08873238672050339,0.0028405597546783392,0.9091607748764666
