model,n_calib,n_test,split_seed,ridge,mae_F_e,rmse_F_e,bias_F_e,pearson
bidir_seed0_raw,256,7744,20260806,,0.3807129244337413,0.41107895484607687,0.3807129244337413,0.822817266044736
bidir_seed0_affine,256,7744,20260806,,0.0883540684468693,0.11306907116606729,0.005091851039874413,0.8228257485017163
bidir_seed1_raw,256,7744,20260806,,0.38412068841290037,0.41464977499689465,0.38412068841290037,0.8134367118199822
bidir_seed1_affine,256,7744,20260806,,0.09113777816382927,0.11578074132247505,0.0055348142561576835,0.8134668462891761
bidir_seed2_raw,256,7744,20260806,,0.38005298842610563,0.41050398964158213,0.38005298842610563,0.8234950262590741
bidir_seed2_affine,256,7744,20260806,,0.088361954346429,0.1128533482437051,0.004468498388680037,0.8234950262590747
bidir_seed3_raw,256,7744,20260806,,0.3788174747168048,0.4091294224587751,0.3788174747168048,0.8225062466842737
bidir_seed3_affine,256,7744,20260806,,0.08864701425887621,0.11306648337968414,0.003377014983533139,0.8225073949087687
bidir_seed4_raw,256,7744,20260806,,0.38100623544247836,0.41155036416366625,0.38100623544247836,0.8254516726161341
bidir_seed4_affine,256,7744,20260806,,0.08754132517221,0.11227423598409117,0.004998313511198062,0.8254558667032015
