model,n_calib,shots_per_label,total_calibration_shots,mae_noisy_mean,mae_noisy_std,mae_exact,penalty_mean
bidir_seed1,16,64,1024,0.08923742911445252,0.0037694861592249183,0.0950429130130158,-0.0058054838985632795
bidir_seed1,16,128,2048,0.09533623398744703,0.004752155153931494,0.0950429130130158,0.0002933209744312382
bidir_seed1,16,512,8192,0.09449166154556457,0.0023109763555589848,0.0950429130130158,-0.0005512514674512442
bidir_seed1,32,16,512,0.10691927263145704,0.004658260987510482,0.09139386858769387,0.015525404043763163
bidir_seed1,32,32,1024,0.09569285010598808,0.009149785844725521,0.09139386858769387,0.004298981518294195
bidir_seed1,32,64,2048,0.08941035168356334,0.0033073551567582584,0.09139386858769387,-0.0019835169041305307
bidir_seed1,32,128,4096,0.09157899198463264,0.0017201183369951543,0.09139386858769387,0.00018512339693877445
bidir_seed1,32,512,16384,0.09058316114863862,0.0009258278933267166,0.09139386858769387,-0.0008107074390552499
bidir_seed1,64,16,1024,0.09422521144257374,0.007062293464407825,0.08889471167863064,0.005330499763943106
bidir_seed1,64,32,2048,0.0928318776531256,0.00594605643761094,0.08889471167863064,0.0039371659744949685
bidir_seed1,64,64,4096,0.08924152183823511,0.002648430427021894,0.08889471167863064,0.000346810159604477
bidir_seed1,64,128,8192,0.08769603708369644,0.0005834386684864403,0.08889471167863064,-0.0011986745949342016
bidir_seed1,64,512,32768,0.08862407636208679,0.0014368944396657226,0.08889471167863064,-0.00027063531654384634
bidir_seed1,128,16,2048,0.09416956350274046,0.006305173222552202,0.09074105885602228,0.0034285046467181805
bidir_seed1,128,32,4096,0.09058159914959757,0.004368645098188278,0.09074105885602228,-0.00015945970642471108
bidir_seed1,128,64,8192,0.09164877272493292,0.001815934494244316,0.09074105885602228,0.0009077138689106451
bidir_seed1,128,128,16384,0.08869624672045584,0.0007765290358790545,0.09074105885602228,-0.0020448121355664374
bidir_seed1,128,512,65536,0.09074736941918751,0.0006242364245949598,0.09074105885602228,6.310563165234928e-06
bidir_seed2,16,16,256,0.12244664532447418,0.018867801097441197,0.09255976679808248,0.029886878526391714
