base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound,exact_marginal_fidelity,exact_composition_grid_mae,fraction_grid_error_above_0p05
121,8,0.6050628520854466,0.6913171612776244,0.0862543091921778,0.0431271545960889,0.0229571325118827,0.9029471095821818,0.25262683434857136,1.0
122,16,0.5748146323040257,0.6905268243949035,0.1157121920908778,0.0578560960454389,0.030942281577867558,0.9126194853451509,0.2772357464146652,1.0
123,16,0.47997667413158396,0.6235545252172201,0.14357785108563614,0.07178892554281807,0.03830282532366299,0.894136002188606,0.3383502389490181,1.0
124,8,0.8261989945411654,0.8729541776182757,0.04675518307711024,0.02337759153855512,0.012428548426465503,0.9647134214415868,0.11364666202857286,1.0
125,8,0.7101726705182743,0.7867584281653778,0.07658575764710351,0.03829287882355176,0.020360430652668113,0.9435186287975864,0.19268156438909237,1.0
126,24,0.49559209581108243,0.6459341880491511,0.15034209223806871,0.07517104611903436,0.03454908721572611,0.7865679654690796,0.2528381244464805,1.0
127,16,0.5446488958955593,0.6541760935255576,0.1095271976299983,0.05476359881499915,0.029314333707834938,0.8938352838555701,0.2923103779207936,1.0
128,16,0.5008127107080137,0.607600206846362,0.10678749613834826,0.05339374806917413,0.028801093444454553,0.8795564879946207,0.3252962470478545,1.0
129,16,0.5607971746186617,0.6367842079517756,0.07598703333311385,0.037993516666556926,0.02075588863253301,0.8814723693202777,0.2849385170035828,1.0
130,24,0.48662910796686754,0.5724965229657084,0.08586741499884087,0.04293370749942044,0.016275123786341942,0.8246250971216791,0.3181422251567036,1.0
131,16,0.5896233228933276,0.6197931928746825,0.030169869981354847,0.015084934990677423,0.007620691142748244,0.8614303369620329,0.2622706763372021,1.0
132,16,0.5100732152166368,0.5826100172900014,0.07253680207336455,0.036268401036682274,0.020145636215872058,0.8464102538964033,0.30462795374808915,1.0
133,16,0.561170083000226,0.6807537649536222,0.11958368195339619,0.059791840976698096,0.031885676465932385,0.9101148679752393,0.285747385616603,1.0
134,8,0.8004389065717489,0.8510111015518559,0.05057219498010701,0.025286097490053505,0.013450880487441703,0.9555648358105139,0.12836968707960322,1.0
135,24,0.4796836905494182,0.713975252321171,0.2342915617717528,0.1171457808858764,0.0564825279700329,0.7623197880795243,0.21416223420890942,0.9333333333333333
136,8,0.6717788651756562,0.7550105741947529,0.08323170901909671,0.041615854509548356,0.022138050225694202,0.9321909520166588,0.21642086332566812,1.0
137,24,0.5200432709123892,0.6123507947457404,0.09230752383335117,0.046153761916675584,0.017698582142053672,0.8334016763419346,0.2925354389769279,1.0
138,24,0.5159081108348555,0.7258493387444905,0.209941227909635,0.1049706139548175,0.05019775643611861,0.7842401531359042,0.20936089308323286,1.0
139,8,0.8053002053915094,0.8586967059537645,0.05339650056225509,0.026698250281127545,0.014186785316094623,0.9550101665347014,0.12116788959909737,1.0
140,16,0.5341649944955861,0.5543787112612848,0.02021371676569872,0.01010685838284936,0.005688411592434598,0.8431417754690108,0.30129959081015373,1.0
141,24,0.5084973570462278,0.7101815658853787,0.20168420883915095,0.10084210441957547,0.04786159029676759,0.7977360993647551,0.23410245335979235,1.0
142,8,0.7240287875358979,0.7882066011330027,0.06417781359710473,0.032088906798552363,0.01708062222855445,0.9435263148105054,0.18581424972491836,1.0
143,8,0.8159276077794385,0.8648039755595793,0.04887636778014082,0.02443818389007041,0.01299382492782839,0.9630212316872813,0.12112646241290002,1.0
144,16,0.4799926432945506,0.5845981111817511,0.10460546788720049,0.052302733943600244,0.02826319239493559,0.8708663656555914,0.339191964169533,1.0
145,24,0.49922511281639087,0.6322957312864406,0.1330706184700497,0.06653530923502485,0.02753403636610045,0.8236276318107765,0.2937049836744111,1.0
146,24,0.5354811057348021,0.5883405413508915,0.05285943561608941,0.026429717808044706,0.013621497521729609,0.8681462880537903,0.3149947322531938,1.0
