method,checkpoint,repeat,per_query_shots,readout_error,mitigation,offline_quantum_shots,fusion_weight,mean_oracle_sigma,mae_F_e,rmse_F_e,bias_F_e,pearson
measurement_conditioned_hybrid,bidir_seed3,1,64,0.03,calibrated_symmetric,8192,0.6719137742339677,,0.060122666402632675,0.07493980183749124,0.003602257920472062,0.9264332077457453
measurement_conditioned_hybrid,bidir_seed4,1,64,0.03,none,8192,0.6868060845329647,,0.06127144008965072,0.07587639281533545,-0.014805515469927134,0.9267383617792689
measurement_conditioned_hybrid,bidir_seed4,1,64,0.03,calibrated_symmetric,8192,0.6681848687215757,,0.05988542686543194,0.07469861358640434,0.0038275371792622585,0.9269195639733687
stratified_dfe,none,1,64,0.05,none,0,1.0,0.09055744092964942,0.07987361481147152,0.10051357782218959,-0.04369600191860208,0.8970283834371662
stratified_dfe,none,1,64,0.05,calibrated_symmetric,0,1.0,0.10061937881072158,0.07854261798283162,0.0985039323073898,0.001085502986600737,0.8971133072963461
measurement_conditioned_hybrid,bidir_seed0,1,64,0.05,none,8192,0.6836831543924892,,0.06419827570360086,0.08018249030921998,-0.02660009640688983,0.9244444745833523
measurement_conditioned_hybrid,bidir_seed0,1,64,0.05,calibrated_symmetric,8192,0.6629678916735502,,0.06070196575502776,0.07622629825629916,0.004234524053329331,0.9243588617550933
measurement_conditioned_hybrid,bidir_seed1,1,64,0.05,none,8192,0.6939637272134566,,0.06474391844728676,0.08085113302101017,-0.026424363801644143,0.9228264956820749
measurement_conditioned_hybrid,bidir_seed1,1,64,0.05,calibrated_symmetric,8192,0.6715339014094156,,0.061346716088539664,0.07700403534402013,0.004941381506600202,0.9228134247537998
measurement_conditioned_hybrid,bidir_seed2,1,64,0.05,none,8192,0.6779786509513566,,0.06396980743127362,0.07989021141955782,-0.02622544186454724,0.9248210487979919
measurement_conditioned_hybrid,bidir_seed2,1,64,0.05,calibrated_symmetric,8192,0.6581746389422992,,0.06056437954716916,0.07606049783260833,0.004348705824590159,0.9247046499365074
measurement_conditioned_hybrid,bidir_seed3,1,64,0.05,none,8192,0.6866680457231007,,0.06424868443711851,0.08030781982741765,-0.02694491104887994,0.924414417223983
measurement_conditioned_hybrid,bidir_seed3,1,64,0.05,calibrated_symmetric,8192,0.6653801334630276,,0.060707936443652924,0.07622706595002673,0.004016604038049141,0.9243502273278441
measurement_conditioned_hybrid,bidir_seed4,1,64,0.05,none,8192,0.6813077312574128,,0.064056157672493,0.07998046952275163,-0.026471505998856157,0.9248096975025837
measurement_conditioned_hybrid,bidir_seed4,1,64,0.05,calibrated_symmetric,8192,0.6609559226727829,,0.06057331049296195,0.07604617393553854,0.004253116829601438,0.9247078885407625
stratified_dfe,none,2,32,0.0,none,0,1.0,0.11340915758250834,0.09102113676139169,0.11446124817252819,0.002504704926636011,0.8682538422377823
stratified_dfe,none,2,32,0.0,calibrated_symmetric,0,1.0,0.11340915758250834,0.09102113676139169,0.11446124817252819,0.002504704926636011,0.8682538422377823
measurement_conditioned_hybrid,bidir_seed0,2,32,0.0,none,6144,0.45081279315016415,,0.06605814629594962,0.08300456989503725,0.010633503666940684,0.9147663638882754
measurement_conditioned_hybrid,bidir_seed0,2,32,0.0,calibrated_symmetric,6144,0.45081279315016415,,0.06605814629594962,0.08300456989503725,0.010633503666940684,0.9147663638882754
measurement_conditioned_hybrid,bidir_seed1,2,32,0.0,none,6144,0.4608035922210599,,0.0668086651156371,0.08398305309858634,0.01149331387183966,0.9127306455503142
measurement_conditioned_hybrid,bidir_seed1,2,32,0.0,calibrated_symmetric,6144,0.4608035922210599,,0.0668086651156371,0.08398305309858634,0.01149331387183966,0.9127306455503142
measurement_conditioned_hybrid,bidir_seed2,2,32,0.0,none,6144,0.44664096716365137,,0.06595284498872665,0.08292237693094222,0.010781615324870198,0.9149806433427856
measurement_conditioned_hybrid,bidir_seed2,2,32,0.0,calibrated_symmetric,6144,0.44664096716365137,,0.06595284498872665,0.08292237693094222,0.010781615324870198,0.9149806433427856
measurement_conditioned_hybrid,bidir_seed3,2,32,0.0,none,6144,0.45705513550504706,,0.0660810788208485,0.08293984358335091,0.010282113523688841,0.9146042024068476
measurement_conditioned_hybrid,bidir_seed3,2,32,0.0,calibrated_symmetric,6144,0.45705513550504706,,0.0660810788208485,0.08293984358335091,0.010282113523688841,0.9146042024068476
measurement_conditioned_hybrid,bidir_seed4,2,32,0.0,none,6144,0.44834672334566744,,0.06589313149887054,0.08286912269314761,0.01067389869182162,0.9151417711235996
measurement_conditioned_hybrid,bidir_seed4,2,32,0.0,calibrated_symmetric,6144,0.44834672334566744,,0.06589313149887054,0.08286912269314761,0.01067389869182162,0.9151417711235996
stratified_dfe,none,2,32,0.01,none,0,1.0,0.11663906062234776,0.09266985033727473,0.11553001977355326,-0.01087265122415764,0.8618426716698329
stratified_dfe,none,2,32,0.01,calibrated_symmetric,0,1.0,0.11901944961464057,0.09423635342969325,0.11725501785127632,-0.0020307588124310327,0.861910747075238
measurement_conditioned_hybrid,bidir_seed0,2,32,0.01,none,6144,0.4824616756799606,,0.06703139691867688,0.0839958155503351,0.0036287258391397713,0.9096380092839653
measurement_conditioned_hybrid,bidir_seed0,2,32,0.01,calibrated_symmetric,6144,0.4729932429385132,,0.0668280185653984,0.08405610210636634,0.008106388363783785,0.9097418695225227
measurement_conditioned_hybrid,bidir_seed1,2,32,0.01,none,6144,0.49313115800413376,,0.06776184531996353,0.08490717284100086,0.004273525696278254,0.9074459291110399
measurement_conditioned_hybrid,bidir_seed1,2,32,0.01,calibrated_symmetric,6144,0.48342133034451706,,0.06760642075733876,0.08501555653715157,0.008868979167796573,0.9075548575157062
