split,model,seed_index,nominal_level,empirical_coverage
Length OOD,Bidir Trans.,0,0.4,1.0
Length OOD,Bidir Trans.,0,0.5,1.0
Length OOD,Bidir Trans.,0,0.6,1.0
Length OOD,Bidir Trans.,0,0.7,1.0
Length OOD,Bidir Trans.,0,0.8,1.0
Length OOD,Bidir Trans.,0,0.9,1.0
Length OOD,Bidir Trans.,1,0.1,1.0
Length OOD,Bidir Trans.,1,0.2,1.0
Length OOD,Bidir Trans.,1,0.3,1.0
Length OOD,Bidir Trans.,1,0.4,1.0
Length OOD,Bidir Trans.,1,0.5,1.0
Length OOD,Bidir Trans.,1,0.6,1.0
Length OOD,Bidir Trans.,1,0.7,1.0
Length OOD,Bidir Trans.,1,0.8,1.0
Length OOD,Bidir Trans.,1,0.9,1.0
Length OOD,Bidir Trans.,2,0.1,1.0
Length OOD,Bidir Trans.,2,0.2,1.0
Length OOD,Bidir Trans.,2,0.3,1.0
Length OOD,Bidir Trans.,2,0.4,1.0
Length OOD,Bidir Trans.,2,0.5,1.0
Length OOD,Bidir Trans.,2,0.6,1.0
Length OOD,Bidir Trans.,2,0.7,1.0
Length OOD,Bidir Trans.,2,0.8,1.0
Length OOD,Bidir Trans.,2,0.9,1.0
Length OOD,Bidir Trans.,3,0.1,1.0
Length OOD,Bidir Trans.,3,0.2,1.0
Length OOD,Bidir Trans.,3,0.3,1.0
Length OOD,Bidir Trans.,3,0.4,1.0
Length OOD,Bidir Trans.,3,0.5,1.0
Length OOD,Bidir Trans.,3,0.6,1.0
Length OOD,Bidir Trans.,3,0.7,1.0
Length OOD,Bidir Trans.,3,0.8,1.0
Length OOD,Bidir Trans.,3,0.9,1.0
Length OOD,Bidir Trans.,4,0.1,1.0
Length OOD,Bidir Trans.,4,0.2,1.0
Length OOD,Bidir Trans.,4,0.3,1.0
Length OOD,Bidir Trans.,4,0.4,1.0
Length OOD,Bidir Trans.,4,0.5,1.0
Length OOD,Bidir Trans.,4,0.6,1.0
Length OOD,Bidir Trans.,4,0.7,1.0
Length OOD,Bidir Trans.,4,0.8,1.0
Length OOD,Bidir Trans.,4,0.9,1.0
ID,Flat MLP,0,0.1,0.1012
ID,Flat MLP,0,0.2,0.2378
ID,Flat MLP,0,0.3,0.3114
ID,Flat MLP,0,0.4,0.4092
ID,Flat MLP,0,0.5,0.5108
ID,Flat MLP,0,0.6,0.6096
ID,Flat MLP,0,0.7,0.7074
ID,Flat MLP,0,0.8,0.7984
ID,Flat MLP,0,0.9,0.9028
ID,Flat MLP,1,0.1,0.0966
ID,Flat MLP,1,0.2,0.2168
ID,Flat MLP,1,0.3,0.289
ID,Flat MLP,1,0.4,0.3964
ID,Flat MLP,1,0.5,0.4896
ID,Flat MLP,1,0.6,0.5998
ID,Flat MLP,1,0.7,0.6988
ID,Flat MLP,1,0.8,0.805
ID,Flat MLP,1,0.9,0.898
ID,Flat MLP,2,0.1,0.0934
ID,Flat MLP,2,0.2,0.2054
ID,Flat MLP,2,0.3,0.2988
ID,Flat MLP,2,0.4,0.3878
ID,Flat MLP,2,0.5,0.4856
ID,Flat MLP,2,0.6,0.5938
ID,Flat MLP,2,0.7,0.6866
ID,Flat MLP,2,0.8,0.787
ID,Flat MLP,2,0.9,0.9002
ID,Flat MLP,3,0.1,0.0962
ID,Flat MLP,3,0.2,0.2222
ID,Flat MLP,3,0.3,0.298
ID,Flat MLP,3,0.4,0.392
ID,Flat MLP,3,0.5,0.4824
ID,Flat MLP,3,0.6,0.5848
ID,Flat MLP,3,0.7,0.682
ID,Flat MLP,3,0.8,0.7814
ID,Flat MLP,3,0.9,0.967
ID,Flat MLP,4,0.1,0.0994
ID,Flat MLP,4,0.2,0.1944
ID,Flat MLP,4,0.3,0.2912
ID,Flat MLP,4,0.4,0.3956
ID,Flat MLP,4,0.5,0.5058
ID,Flat MLP,4,0.6,0.5994
ID,Flat MLP,4,0.7,0.6936
ID,Flat MLP,4,0.8,0.9602
ID,Flat MLP,4,0.9,0.9634
Length OOD,Flat MLP,0,0.1,1.0
Length OOD,Flat MLP,0,0.2,1.0
Length OOD,Flat MLP,0,0.3,1.0
Length OOD,Flat MLP,0,0.4,1.0
Length OOD,Flat MLP,0,0.5,1.0
Length OOD,Flat MLP,0,0.6,1.0
Length OOD,Flat MLP,0,0.7,1.0
Length OOD,Flat MLP,0,0.8,1.0
Length OOD,Flat MLP,0,0.9,1.0
Length OOD,Flat MLP,1,0.1,1.0
Length OOD,Flat MLP,1,0.2,1.0
Length OOD,Flat MLP,1,0.3,1.0
Length OOD,Flat MLP,1,0.4,1.0
Length OOD,Flat MLP,1,0.5,1.0
Length OOD,Flat MLP,1,0.6,1.0
Length OOD,Flat MLP,1,0.7,1.0
Length OOD,Flat MLP,1,0.8,1.0
Length OOD,Flat MLP,1,0.9,1.0
Length OOD,Flat MLP,2,0.1,1.0
Length OOD,Flat MLP,2,0.2,1.0
Length OOD,Flat MLP,2,0.3,1.0
Length OOD,Flat MLP,2,0.4,1.0
Length OOD,Flat MLP,2,0.5,1.0
Length OOD,Flat MLP,2,0.6,1.0
Length OOD,Flat MLP,2,0.7,1.0
Length OOD,Flat MLP,2,0.8,1.0
Length OOD,Flat MLP,2,0.9,1.0
Length OOD,Flat MLP,3,0.1,1.0
Length OOD,Flat MLP,3,0.2,1.0
Length OOD,Flat MLP,3,0.3,1.0
Length OOD,Flat MLP,3,0.4,1.0
Length OOD,Flat MLP,3,0.5,1.0
Length OOD,Flat MLP,3,0.6,1.0
Length OOD,Flat MLP,3,0.7,1.0
Length OOD,Flat MLP,3,0.8,1.0
Length OOD,Flat MLP,3,0.9,1.0
Length OOD,Flat MLP,4,0.1,1.0
Length OOD,Flat MLP,4,0.2,1.0
Length OOD,Flat MLP,4,0.3,1.0
Length OOD,Flat MLP,4,0.4,1.0
Length OOD,Flat MLP,4,0.5,1.0
Length OOD,Flat MLP,4,0.6,1.0
Length OOD,Flat MLP,4,0.7,1.0
Length OOD,Flat MLP,4,0.8,1.0
Length OOD,Flat MLP,4,0.9,1.0
ID,DeepSets,0,0.1,0.1008
ID,DeepSets,0,0.2,0.2058
ID,DeepSets,0,0.3,0.3022
ID,DeepSets,0,0.4,0.403
ID,DeepSets,0,0.5,0.497
ID,DeepSets,0,0.6,0.5946
ID,DeepSets,0,0.7,0.6978
ID,DeepSets,0,0.8,0.8064
ID,DeepSets,0,0.9,0.9096
ID,DeepSets,1,0.1,0.1008
ID,DeepSets,1,0.2,0.198
ID,DeepSets,1,0.3,0.3036
ID,DeepSets,1,0.4,0.4076
ID,DeepSets,1,0.5,0.5098
ID,DeepSets,1,0.6,0.6102
ID,DeepSets,1,0.7,0.7048
ID,DeepSets,1,0.8,0.8064
ID,DeepSets,1,0.9,0.9026
ID,DeepSets,2,0.1,0.101
ID,DeepSets,2,0.2,0.2066
ID,DeepSets,2,0.3,0.313
ID,DeepSets,2,0.4,0.407
ID,DeepSets,2,0.5,0.5
ID,DeepSets,2,0.6,0.5914
ID,DeepSets,2,0.7,0.6866
ID,DeepSets,2,0.8,0.7906
ID,DeepSets,2,0.9,0.9002
ID,DeepSets,3,0.1,0.1074
ID,DeepSets,3,0.2,0.1984
ID,DeepSets,3,0.3,0.2954
ID,DeepSets,3,0.4,0.3974
ID,DeepSets,3,0.5,0.5218
ID,DeepSets,3,0.6,0.6152
ID,DeepSets,3,0.7,0.7062
ID,DeepSets,3,0.8,0.8062
ID,DeepSets,3,0.9,0.9008
ID,DeepSets,4,0.1,0.1
ID,DeepSets,4,0.2,0.194
ID,DeepSets,4,0.3,0.2976
ID,DeepSets,4,0.4,0.4066
ID,DeepSets,4,0.5,0.512
ID,DeepSets,4,0.6,0.6058
ID,DeepSets,4,0.7,0.7054
ID,DeepSets,4,0.8,0.9142
ID,DeepSets,4,0.9,0.9616
Length OOD,DeepSets,0,0.1,1.0
Length OOD,DeepSets,0,0.2,1.0
Length OOD,DeepSets,0,0.3,1.0
Length OOD,DeepSets,0,0.4,1.0
Length OOD,DeepSets,0,0.5,1.0
Length OOD,DeepSets,0,0.6,1.0
Length OOD,DeepSets,0,0.7,1.0
Length OOD,DeepSets,0,0.8,1.0
Length OOD,DeepSets,0,0.9,1.0
Length OOD,DeepSets,1,0.1,1.0
Length OOD,DeepSets,1,0.2,1.0
Length OOD,DeepSets,1,0.3,1.0
Length OOD,DeepSets,1,0.4,1.0
Length OOD,DeepSets,1,0.5,1.0
Length OOD,DeepSets,1,0.6,1.0
Length OOD,DeepSets,1,0.7,1.0
Length OOD,DeepSets,1,0.8,1.0
Length OOD,DeepSets,1,0.9,1.0
Length OOD,DeepSets,2,0.1,1.0
Length OOD,DeepSets,2,0.2,1.0
Length OOD,DeepSets,2,0.3,1.0
Length OOD,DeepSets,2,0.4,1.0
Length OOD,DeepSets,2,0.5,1.0
Length OOD,DeepSets,2,0.6,1.0
Length OOD,DeepSets,2,0.7,1.0
Length OOD,DeepSets,2,0.8,1.0
Length OOD,DeepSets,2,0.9,1.0
Length OOD,DeepSets,3,0.1,1.0
Length OOD,DeepSets,3,0.2,1.0
Length OOD,DeepSets,3,0.3,1.0
Length OOD,DeepSets,3,0.4,1.0
Length OOD,DeepSets,3,0.5,1.0
Length OOD,DeepSets,3,0.6,1.0
Length OOD,DeepSets,3,0.7,1.0
Length OOD,DeepSets,3,0.8,1.0
Length OOD,DeepSets,3,0.9,1.0
Length OOD,DeepSets,4,0.1,0.9978941034897714
Length OOD,DeepSets,4,0.2,1.0
Length OOD,DeepSets,4,0.3,1.0
Length OOD,DeepSets,4,0.4,1.0
Length OOD,DeepSets,4,0.5,1.0
Length OOD,DeepSets,4,0.6,1.0
Length OOD,DeepSets,4,0.7,1.0
Length OOD,DeepSets,4,0.8,1.0
Length OOD,DeepSets,4,0.9,1.0
