model,n_calib,shots_per_label,total_calibration_shots,repeat,mae_noisy_calibration,mae_exact_calibration,calibration_noise_penalty
bidir_seed3,16,16,256,1,0.14814186137310445,0.09357931645298719,0.054562544920117265
bidir_seed4,16,16,256,1,0.14729501956278698,0.09212245739356438,0.0551725621692226
bidir_seed0,32,16,512,1,0.11093042722235663,0.08852378859881133,0.022406638623545305
bidir_seed1,32,16,512,1,0.11430032223105158,0.09139386858769387,0.022906453643357708
bidir_seed2,32,16,512,1,0.11036455494503009,0.08815827118460912,0.02220628376042097
bidir_seed3,32,16,512,1,0.10968520828699126,0.08811942765793149,0.02156578062905977
bidir_seed4,32,16,512,1,0.11001527259549396,0.08773175903834711,0.022283513557146847
bidir_seed0,64,16,1024,1,0.08829100249199803,0.08606220456904624,0.002228797922951789
bidir_seed1,64,16,1024,1,0.0913294867000194,0.08889471167863064,0.002434775021388766
bidir_seed2,64,16,1024,1,0.08837392935934661,0.08601845437757337,0.0023554749817732423
bidir_seed3,64,16,1024,1,0.08850857742804506,0.0865502101432856,0.0019583672847594685
bidir_seed4,64,16,1024,1,0.08760881680522323,0.08536095832382512,0.0022478584813981073
bidir_seed0,128,16,2048,1,0.09135623182961904,0.08804321046293469,0.003313021366684349
bidir_seed1,128,16,2048,1,0.0942715349953688,0.09074105885602228,0.003530476139346525
bidir_seed2,128,16,2048,1,0.09138022860173659,0.08796645626239247,0.0034137723393441177
bidir_seed3,128,16,2048,1,0.09152146492299396,0.08834326005394762,0.003178204869046339
bidir_seed4,128,16,2048,1,0.09058601610912043,0.08711874052689295,0.0034672755822274803
bidir_seed0,16,16,256,2,0.1168683529949383,0.09299630234517299,0.023872050649765303
bidir_seed1,16,16,256,2,0.11727676968709735,0.0950429130130158,0.02223385667408155
bidir_seed2,16,16,256,2,0.11616184863445395,0.09255976679808248,0.02360208183637147
bidir_seed3,16,16,256,2,0.11501643886774307,0.09357931645298719,0.021437122414755885
bidir_seed4,16,16,256,2,0.11539234762452476,0.09212245739356438,0.023269890230960377
bidir_seed0,32,16,512,2,0.09952495297918784,0.08852378859881133,0.011001164380376516
bidir_seed1,32,16,512,2,0.10153055199118846,0.09139386858769387,0.010136683403494592
bidir_seed2,32,16,512,2,0.09883545670373015,0.08815827118460912,0.01067718551912103
bidir_seed3,32,16,512,2,0.09837488193888086,0.08811942765793149,0.010255454280949372
bidir_seed4,32,16,512,2,0.09861629258175658,0.08773175903834711,0.010884533543409472
bidir_seed0,64,16,1024,2,0.08850130370272181,0.08606220456904624,0.0024390991336755707
bidir_seed1,64,16,1024,2,0.09117153430184285,0.08889471167863064,0.0022768226232122157
bidir_seed2,64,16,1024,2,0.08820218318734853,0.08601845437757337,0.0021837288097751595
bidir_seed3,64,16,1024,2,0.08878614966014418,0.0865502101432856,0.00223593951685859
bidir_seed4,64,16,1024,2,0.08764235351817351,0.08536095832382512,0.00228139519434839
bidir_seed0,128,16,2048,2,0.08806536070067011,0.08804321046293469,2.2150237735427125e-05
bidir_seed1,128,16,2048,2,0.0906737257581116,0.09074105885602228,-6.733309791068232e-05
bidir_seed2,128,16,2048,2,0.08783915238100266,0.08796645626239247,-0.00012730388138980364
bidir_seed3,128,16,2048,2,0.08827740772422916,0.08834326005394762,-6.585232971845212e-05
bidir_seed4,128,16,2048,2,0.08705841867704421,0.08711874052689295,-6.032184984873512e-05
bidir_seed0,16,16,256,3,0.10456388058348949,0.09299630234517299,0.0115675782383165
bidir_seed1,16,16,256,3,0.10688541885235912,0.0950429130130158,0.01184250583934332
bidir_seed2,16,16,256,3,0.1042833676222727,0.09255976679808248,0.011723600824190217
bidir_seed3,16,16,256,3,0.10755245065918119,0.09357931645298719,0.013973134206194004
bidir_seed4,16,16,256,3,0.10402734159197974,0.09212245739356438,0.011904884198415358
bidir_seed0,32,16,512,3,0.10288621213464585,0.08852378859881133,0.014362423535834529
bidir_seed1,32,16,512,3,0.10560927826233839,0.09139386858769387,0.014215409674644519
bidir_seed2,32,16,512,3,0.10277554107211263,0.08815827118460912,0.014617269887503517
bidir_seed3,32,16,512,3,0.10398210906545555,0.08811942765793149,0.01586268140752406
bidir_seed4,32,16,512,3,0.10189903686495402,0.08773175903834711,0.014167277826606914
bidir_seed0,64,16,1024,3,0.10301515782920821,0.08606220456904624,0.016952953260161968
bidir_seed1,64,16,1024,3,0.10537260492667593,0.08889471167863064,0.016477893248045286
bidir_seed2,64,16,1024,3,0.10307064718946728,0.08601845437757337,0.017052192811893907
bidir_seed3,64,16,1024,3,0.10411018365262399,0.0865502101432856,0.017559973509338397
bidir_seed4,64,16,1024,3,0.10241946283957201,0.08536095832382512,0.017058504515746892
bidir_seed0,128,16,2048,3,0.10303598526542823,0.08804321046293469,0.014992774802493544
